"atqro_code","atq_code","atqro_label","atqro_sequence","atqro_is_default","atqro_is_active","atqro_score_risk"
"S-13-R04","S-13","Vendor allows customer-directed audit or provides AI-specific third-party assessments","4","N","Y","75"
"S-13-R05","S-13","Comprehensive audit rights with AI-specific scope, regular cadence, and regulatory alignment","5","N","Y","100"
"S-14-R01","S-14","Vendor does not disclose subprocessors, hosting providers, or underlying model providers","1","Y","Y","0"
"S-14-R02","S-14","Vendor names primary hosting provider but does not disclose full subprocessor chain","2","N","Y","25"
"S-14-R03","S-14","Vendor publishes a subprocessor list covering all entities that process customer data","3","N","Y","50"
"S-14-R04","S-14","Vendor notifies customers of subprocessor changes with advance notice and objection rights","4","N","Y","75"
"S-14-R05","S-14","Full supply chain transparency with contractual controls and independent verification","5","N","Y","100"
"S-15-R01","S-15","Vendor demonstrates no awareness of or alignment with AI-specific regulation","1","Y","Y","0"
"S-15-R02","S-15","Vendor acknowledges upcoming regulation but has taken no concrete compliance steps","2","N","Y","25"
"S-15-R03","S-15","Vendor has mapped controls to at least one major AI regulatory framework","3","N","Y","50"
"S-15-R04","S-15","Vendor holds AI-specific certification or has completed third-party regulatory readiness assessment","4","N","Y","75"
"S-15-R05","S-15","Full regulatory compliance across multiple frameworks with continuous monitoring and customer-facing evidence","5","N","Y","100"
