Response Code,Risk ID,Asset Type,Risk Name,Score,Maturity Level,Response Option
MDL-Q07-R05,MDL-Q07,Model,Bias Amplification,100,Compliant,Real-time mitigation. Dynamic output guardrails using Perspective API.
MDL-Q08-R01,MDL-Q08,Model,Backdoor Triggers,0,Gap,No scanning. Hidden triggers allow targeted malicious behaviour.
MDL-Q08-R02,MDL-Q08,Model,Backdoor Triggers,25,Weak,Provider reliance. Reliance on base-model provider safety claims.
MDL-Q08-R03,MDL-Q08,Model,Backdoor Triggers,50,Baseline,Data scanning. Periodic scanning of fine-tuning data for statistical anomalies.
MDL-Q08-R04,MDL-Q08,Model,Backdoor Triggers,75,Robust,Outlier detection. Pre-training outlier detection using Alibi Detect or ART.
MDL-Q08-R05,MDL-Q08,Model,Backdoor Triggers,100,Compliant,Full sanitisation. Training loss monitoring and cryptographic validation of data.
MDL-Q09-R01,MDL-Q09,Model,Performance Drift,0,Gap,No observability. Silent degradation goes unnoticed after deployment.
MDL-Q09-R02,MDL-Q09,Model,Performance Drift,25,Weak,User reporting. Ad-hoc feedback loops for performance issues.
MDL-Q09-R03,MDL-Q09,Model,Performance Drift,50,Baseline,Metric monitoring. Automated tracking of latency and error rates.
MDL-Q09-R04,MDL-Q09,Model,Performance Drift,75,Robust,Continuous tracing. Decision observability implemented via Langfuse or Phoenix.
MDL-Q09-R05,MDL-Q09,Model,Performance Drift,100,Compliant,Automated failover. Drift detection triggers failover to Challenger Models via FastAPI.
MDL-Q10-R01,MDL-Q10,Model,Watermark Removal,0,Gap,No traceability. Traceability markers are absent or easily removed.
MDL-Q10-R02,MDL-Q10,Model,Watermark Removal,25,Weak,Simple text markers. Basic text-based watermarking easily bypassed.
MDL-Q10-R03,MDL-Q10,Model,Watermark Removal,50,Baseline,Standard signatures. Standard watermark signatures without verification tools.
MDL-Q10-R04,MDL-Q10,Model,Watermark Removal,75,Robust,Tree-Ring Signals. Advanced hidden signals embedded in generations.
MDL-Q10-R05,MDL-Q10,Model,Watermark Removal,100,Compliant,"Robust watermarks. Undetectable, robust watermarks verifiable via OpenAI Watermarking tools."
SYS-Q01-R01,SYS-Q01,System,Orchestration Hijack,0,Gap,Malicious signals trigger erroneous workflows without validation.
SYS-Q01-R02,SYS-Q01,System,Orchestration Hijack,25,Weak,Manual review of a sample of input signals.
SYS-Q01-R03,SYS-Q01,System,Orchestration Hijack,50,Baseline,Signals validated against fixed schemas via Pydantic.
SYS-Q01-R04,SYS-Q01,System,Orchestration Hijack,75,Robust,Multi-source validation with anomaly scoring via Great Expectations.
SYS-Q01-R05,SYS-Q01,System,Orchestration Hijack,100,Compliant,Trust scoring and historical accuracy weighting via Bayesian trust models.
SYS-Q02-R01,SYS-Q02,System,Compliance Violations,0,Gap,AI recommendations violate business rules or regulatory requirements.
SYS-Q02-R02,SYS-Q02,System,Compliance Violations,25,Weak,Ad-hoc manual audits of AI-generated decisions.
SYS-Q02-R03,SYS-Q02,System,Compliance Violations,50,Baseline,Periodic audits and documented governance policies.
SYS-Q02-R04,SYS-Q02,System,Compliance Violations,75,Robust,Output validation against hardcoded rules using Easy Rules or Drools.
SYS-Q02-R05,SYS-Q02,System,Compliance Violations,100,Compliant,Real-time enforcement via automated governance platforms like Drata or Vanta.
SYS-Q03-R01,SYS-Q03,System,Shadow AI,0,Gap,Unauthorised/unknown AI systems operating in the environment.
SYS-Q03-R02,SYS-Q03,System,Shadow AI,25,Weak,Manual inventory of AI assets updated on an irregular basis.
SYS-Q03-R03,SYS-Q03,System,Shadow AI,50,Baseline,Discovery scans on network traffic to identify AI endpoints.
SYS-Q03-R04,SYS-Q03,System,Shadow AI,75,Robust,Automated discovery and integration monitoring via Prometheus.
SYS-Q03-R05,SYS-Q03,System,Shadow AI,100,Compliant,Real-time blocking and full observability via ELK stack or ClickHouse.
SYS-Q04-R01,SYS-Q04,System,Decision Drift,0,Gap,Silent degradation of AI recommendations over time.
SYS-Q04-R02,SYS-Q04,System,Decision Drift,25,Weak,User-reported errors only; no proactive tracking.
SYS-Q04-R03,SYS-Q04,System,Decision Drift,50,Baseline,Automated tracking of high-level performance metrics.
SYS-Q04-R04,SYS-Q04,System,Decision Drift,75,Robust,Continuous drift and latency monitoring via Langfuse or Phoenix.
SYS-Q04-R05,SYS-Q04,System,Decision Drift,100,Compliant,Automated retuning or failover triggered by Great Expectations quality gates.
SYS-Q05-R01,SYS-Q05,System,Integration Abuse,0,Gap,Compromised AI systems affect downstream production systems.
SYS-Q05-R02,SYS-Q05,System,Integration Abuse,25,Weak,No isolation between AI and downstream infra.
SYS-Q05-R03,SYS-Q05,System,Integration Abuse,50,Baseline,Basic egress filtering and rate limiting applied.
SYS-Q05-R04,SYS-Q05,System,Integration Abuse,75,Robust,Integrated DLP and downstream policy checks using Nightfall AI.
SYS-Q05-R05,SYS-Q05,System,Integration Abuse,100,Compliant,Zero-trust integration and per-action auth via OPA for Terraform or Sentinel.
SYS-Q06-R01,SYS-Q06,System,Audit Gaps,0,Gap,Inability to reconstruct decisions during incident investigation.
SYS-Q06-R02,SYS-Q06,System,Audit Gaps,25,Weak,No logging of AI decisions or system signals.
SYS-Q06-R03,SYS-Q06,System,Audit Gaps,50,Baseline,Basic unstructured text logs of system activity.
SYS-Q06-R04,SYS-Q06,System,Audit Gaps,75,Robust,Structured logging of all decision paths via ELK stack.
SYS-Q06-R05,SYS-Q06,System,Audit Gaps,100,Compliant,"Tamper-proof, replayable traces stored in ClickHouse."
SYS-Q07-R01,SYS-Q07,System,Resource Exhaustion,0,Gap,"AI consumes disproportionate infra, causing availability failures."
SYS-Q07-R02,SYS-Q07,System,Resource Exhaustion,25,Weak,No limits on AI compute or API consumption.
SYS-Q07-R03,SYS-Q07,System,Resource Exhaustion,50,Baseline,Manual monitoring of infrastructure costs.
SYS-Q07-R04,SYS-Q07,System,Resource Exhaustion,75,Robust,Static per-asset quotas enforced via Redis-backed limits.
SYS-Q07-R05,SYS-Q07,System,Resource Exhaustion,100,Compliant,Predictive scaling and real-time throttling via FastAPI-Limiter.
SYS-Q08-R01,SYS-Q08,System,False Automation,0,Gap,Over-automation causing operational chaos.
SYS-Q08-R02,SYS-Q08,System,False Automation,25,Weak,Fully autonomous workflows with no human gates.
SYS-Q08-R03,SYS-Q08,System,False Automation,50,Baseline,Static approval gates for all workflows regardless of risk.
SYS-Q08-R04,SYS-Q08,System,False Automation,75,Robust,Risk-weighted gating and Airflow sensors for high-impact tasks.
SYS-Q08-R05,SYS-Q08,System,False Automation,100,Compliant,Hard human-in-the-loop sign-off via n8n or Zapier Enterprise.
SYS-Q09-R01,SYS-Q09,System,Vendor Lock-in,0,Gap,Single AI vendor creating strategic switching costs.
SYS-Q09-R02,SYS-Q09,System,Vendor Lock-in,25,Weak,Deep integration with a single proprietary model/API.
SYS-Q09-R03,SYS-Q09,System,Vendor Lock-in,50,Baseline,Standardised API usage to allow for model swapping.
SYS-Q09-R04,SYS-Q09,System,Vendor Lock-in,75,Robust,Abstraction layers and multi-vendor threat modelling via Threat Dragon.
SYS-Q09-R05,SYS-Q09,System,Vendor Lock-in,100,Compliant,"Fully portable, model-agnostic architecture validated through STRIDE workshops."
SYS-Q10-R01,SYS-Q10,System,Ethical Drift,0,Gap,Gradual erosion of ethical standards in AI outcomes.
SYS-Q10-R02,SYS-Q10,System,Ethical Drift,25,Weak,No ethical evaluation or impact monitoring.
SYS-Q10-R03,SYS-Q10,System,Ethical Drift,50,Baseline,Occasional manual ethical reviews of AI behavior.
SYS-Q10-R04,SYS-Q10,System,Ethical Drift,75,Robust,Automated ethical patterns monitored via Langfuse observability.
SYS-Q10-R05,SYS-Q10,System,Ethical Drift,100,Compliant,Real-time ethical guardrails and compliance mapping via Drata or Vanta.
