"atqro_code","atq_code","atqro_label","atqro_sequence","atqro_is_default","atqro_is_active","atqro_score_risk"
"SYS-Q04","SYS-Q04-R03","Automated tracking of high-level performance metrics.","3","N","Y","50"
"SYS-Q04","SYS-Q04-R04","Continuous drift and latency monitoring via Langfuse or Phoenix.","4","N","Y","75"
"SYS-Q04","SYS-Q04-R05","Automated retuning or failover triggered by Great Expectations quality gates.","5","N","Y","100"
"SYS-Q05","SYS-Q05-R01","Compromised AI systems affect downstream production systems.","1","Y","Y","0"
"SYS-Q05","SYS-Q05-R02","No isolation between AI and downstream infra.","2","N","Y","25"
"SYS-Q05","SYS-Q05-R03","Basic egress filtering and rate limiting applied.","3","N","Y","50"
"SYS-Q05","SYS-Q05-R04","Integrated DLP and downstream policy checks using Nightfall AI.","4","N","Y","75"
"SYS-Q05","SYS-Q05-R05","Zero-trust integration and per-action auth via OPA for Terraform or Sentinel.","5","N","Y","100"
"SYS-Q06","SYS-Q06-R01","Inability to reconstruct decisions during incident investigation.","1","Y","Y","0"
"SYS-Q06","SYS-Q06-R02","No logging of AI decisions or system signals.","2","N","Y","25"
"SYS-Q06","SYS-Q06-R03","Basic unstructured text logs of system activity.","3","N","Y","50"
"SYS-Q06","SYS-Q06-R04","Structured logging of all decision paths via ELK stack.","4","N","Y","75"
"SYS-Q06","SYS-Q06-R05","Tamper-proof, replayable traces stored in ClickHouse.","5","N","Y","100"
"SYS-Q07","SYS-Q07-R01","AI consumes disproportionate infra, causing availability failures.","1","Y","Y","0"
"SYS-Q07","SYS-Q07-R02","No limits on AI compute or API consumption.","2","N","Y","25"
"SYS-Q07","SYS-Q07-R03","Manual monitoring of infrastructure costs.","3","N","Y","50"
"SYS-Q07","SYS-Q07-R04","Static per-asset quotas enforced via Redis-backed limits.","4","N","Y","75"
"SYS-Q07","SYS-Q07-R05","Predictive scaling and real-time throttling via FastAPI-Limiter.","5","N","Y","100"
"SYS-Q08","SYS-Q08-R01","Over-automation causing operational chaos.","1","Y","Y","0"
"SYS-Q08","SYS-Q08-R02","Fully autonomous workflows with no human gates.","2","N","Y","25"
"SYS-Q08","SYS-Q08-R03","Static approval gates for all workflows regardless of risk.","3","N","Y","50"
"SYS-Q08","SYS-Q08-R04","Risk-weighted gating and Airflow sensors for high-impact tasks.","4","N","Y","75"
"SYS-Q08","SYS-Q08-R05","Hard human-in-the-loop sign-off via n8n or Zapier Enterprise.","5","N","Y","100"
"SYS-Q09","SYS-Q09-R01","Single AI vendor creating strategic switching costs.","1","Y","Y","0"
"SYS-Q09","SYS-Q09-R02","Deep integration with a single proprietary model/API.","2","N","Y","25"
"SYS-Q09","SYS-Q09-R03","Standardised API usage to allow for model swapping.","3","N","Y","50"
"SYS-Q09","SYS-Q09-R04","Abstraction layers and multi-vendor threat modelling via Threat Dragon.","4","N","Y","75"
"SYS-Q09","SYS-Q09-R05","Fully portable, model-agnostic architecture validated through STRIDE workshops.","5","N","Y","100"
"SYS-Q10","SYS-Q10-R01","Gradual erosion of ethical standards in AI outcomes.","1","Y","Y","0"
"SYS-Q10","SYS-Q10-R02","No ethical evaluation or impact monitoring.","2","N","Y","25"
"SYS-Q10","SYS-Q10-R03","Occasional manual ethical reviews of AI behavior.","3","N","Y","50"
"SYS-Q10","SYS-Q10-R04","Automated ethical patterns monitored via Langfuse observability.","4","N","Y","75"
"SYS-Q10","SYS-Q10-R05","Real-time ethical guardrails and compliance mapping via Drata or Vanta.","5","N","Y","100"
